title,location,price,area
                        Apartment Mauritsstraat                            ,            3012 CJ Rotterdam (Cool)        ,"                €1,075 per month            ",53 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Schiebroekselaan                            ,            3037 RL Rotterdam (Liskwartier)        ,"                €2,250 per month            ",138 m²
                        Apartment Botersloot                            ,            3011 HE Rotterdam (Stadsdriehoek)        ,"                €1,995 per month            ",95 m²
                        Apartment Aelbrechtskade                            ,            3023 JJ Rotterdam (Nieuwe Westen)        ,"                €1,500 per month            ",85 m²
                        Apartment Bergstraat                            ,            3035 TD Rotterdam (Oude Noorden)        ,"                €1,250 per month            ",83 m²
                        Apartment Karel Doormanstraat 382 R                            ,            3012 GR Rotterdam (Cool)        ,"                €1,450 per month            ",48 m²
                        Apartment Grote Visserijstraat                            ,            3026 CH Rotterdam (Tussendijken)        ,"                €1,795 per month            ",120 m²
                        Apartment Zwaanshals                            ,            3036 KZ Rotterdam (Oude Noorden)        ,"                €1,600 per month            ",50 m²
                        Apartment Zwederstraat                            ,            3073 ZT Rotterdam (Bloemhof)        ,"                €1,125 per month            ",65 m²
                        Apartment Oostzeedijk                            ,            3063 BD Rotterdam (Struisenburg)        ,"                €1,495 per month            ",86 m²
                        Apartment Van der Helmstraat                            ,            3067 HJ Rotterdam (Het Lage Land)        ,"                €1,300 per month            ",75 m²
                        Apartment Heemraadssingel                            ,            3021 DE Rotterdam (Middelland)        ,"                €1,450 per month            ",50 m²
                        Apartment Dordtselaan                            ,            3073 GA Rotterdam (Bloemhof)        ,"                €1,745 per month            ",65 m²
                        Studio Ruilstraat 90 A02                            ,            3023 XX Rotterdam (Nieuwe Westen)        ,                €650 per month            ,14 m²
                        Apartment Mariniersweg 250                            ,            3011 ZZ Rotterdam (Stadsdriehoek)        ,"                €1,275 per month            ",66 m²
                        House Bergse Linker Rottekade                            ,            3056 LL Rotterdam (Terbregge)        ,"                €2,360 per month            ",137 m²
                        Apartment Van Vollenhovenstraat                            ,            3016 BE Rotterdam (Nieuwe Werk)        ,"                €1,395 per month            ",84 m²
                        Apartment Snellinckstraat                            ,            3021 WC Rotterdam (Middelland)        ,"                €2,000 per month            ",125 m²
                        Apartment Houtlaan 397                            ,            3016 DA Rotterdam (Nieuwe Werk)        ,"                €3,750 per month            ",124 m²
                        Apartment Borgesiusstraat                            ,            3038 TB Rotterdam (Bergpolder)        ,                €975 per month            ,50 m²
                        Studio Transvaalstraat                            ,            3072 PV Rotterdam (Afrikaanderwijk)        ,                €665 per month            ,20 m²
                        Studio Ploegstraat                            ,            3075 ND Rotterdam (Vreewijk)        ,                €795 per month            ,50 m²
                        Apartment Kratonkade                            ,            3024 EW Rotterdam (Schiemond)        ,"                €1,995 per month            ",91 m²
                        Apartment Bergse Dorpsstraat                            ,            3054 GG Rotterdam (Hillegersberg Noord)        ,"                €1,395 per month            ",55 m²
                        Apartment Hillevliet 68 B02                            ,            3074 KC Rotterdam (Hillesluis)        ,"                €1,395 per month            ",88 m²
                        Apartment Groen van Prinstererstraat                            ,            3038 RA Rotterdam (Bergpolder)        ,"                €1,250 per month            ",60 m²
                        Apartment Hooidrift 30 A02                            ,            3023 KP Rotterdam (Nieuwe Westen)        ,"                €1,050 per month            ",65 m²
                        Apartment Walenburgerweg                            ,            3039 AG Rotterdam (Provenierswijk)        ,"                €1,375 per month            ",62 m²
                        Apartment Houtlaan                            ,            3016 DA Rotterdam (Nieuwe Werk)        ,"                €3,171 per month            ",90 m²
                        Apartment Wilhelminakade                            ,            3072 AP Rotterdam (Kop van Zuid)        ,"                €3,298 per month            ",94 m²
                        Apartment Vlaggemanstraat                            ,            3038 LG Rotterdam (Bergpolder)        ,"                €1,350 per month            ",66 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment West-Sidelinge                            ,            3042 CZ Rotterdam (Kleinpolder)        ,"                €1,750 per month            ",88 m²
                        Apartment Theseusstraat 147                            ,            3054 RZ Rotterdam (Hillegersberg Noord)        ,"                €2,195 per month            ",105 m²
                        Room Slotstraat                            ,            3062 PP Rotterdam (Kralingen Oost)        ,                €545 per month            ,25 m²
                        Apartment Lange Hilleweg 218 A01                            ,            3073 BX Rotterdam (Bloemhof)        ,"                €1,295 per month            ",77 m²
                        Apartment Schiedamsesingel                            ,            3012 BB Rotterdam (Cool)        ,"                €1,095 per month            ",42 m²
                        Apartment Hemingwayplaats                            ,            3068 WL Rotterdam (Ommoord)        ,"                €1,595 per month            ",85 m²
                        Apartment Mathenesserweg                            ,            3026 HC Rotterdam (Spangen)        ,"                €1,495 per month            ",117 m²
                        Apartment Boompjes                            ,            3011 XB Rotterdam (Stadsdriehoek)        ,"                €1,890 per month            ",96 m²
                        Apartment Frans Bekkerstraat                            ,            3082 TT Rotterdam (Oud Charlois)        ,"                €1,095 per month            ",50 m²
                        Apartment Nicolaas Zasstraat                            ,            3033 TC Rotterdam (Provenierswijk)        ,"                €1,350 per month            ",80 m²
                        Apartment Groeninxstraat                            ,            3039 TD Rotterdam (Blijdorp)        ,"                €1,200 per month            ",95 m²
                        Apartment Kipstraat 217                            ,            3011 ZX Rotterdam (Stadsdriehoek)        ,"                €1,250 per month            ",82 m²
                        Apartment Groene Hilledijk 400 A                            ,            3075 ED Rotterdam (Vreewijk)        ,"                €1,450 per month            ",100 m²
                        Apartment Dorpsweg                            ,            3082 LA Rotterdam (Oud Charlois)        ,"                €1,350 per month            ",68 m²
                        Apartment Margrietstraat 14 B                            ,            3051 TW Rotterdam (Hillegersberg Zuid)        ,"                €1,300 per month            ",70 m²
                        Apartment Statenweg                            ,            3039 HK Rotterdam (Blijdorp)        ,"                €1,400 per month            ",116 m²
                        Apartment Oudedijk                            ,            3061 AE Rotterdam (Kralingen West)        ,"                €1,150 per month            ",60 m²
                        Room Oostmaaslaan                            ,            3063 AP Rotterdam (Struisenburg)        ,                €900 per month            ,20 m²
                        Studio Saftlevenstraat                            ,            3015 BK Rotterdam (Oude Westen)        ,                €743 per month            ,30 m²
                        Apartment Stadhoudersplein                            ,            3038 EA Rotterdam (Bergpolder)        ,"                €1,395 per month            ",76 m²
                        Apartment Bergse Dorpsstraat 116 C                            ,            3054 GG Rotterdam (Hillegersberg Noord)        ,"                €1,395 per month            ",55 m²
                        Apartment Statenweg                            ,            3039 HJ Rotterdam (Blijdorp)        ,"                €1,050 per month            ",50 m²
                        Apartment Essenburgsingel                            ,            3022 EM Rotterdam (Nieuwe Westen)        ,"                €1,050 per month            ",32 m²
                        Apartment Vierambachtsstraat                            ,            3022 AB Rotterdam (Nieuwe Westen)        ,"                €1,225 per month            ",57 m²
                        Apartment Zaagmolenstraat                            ,            3036 HK Rotterdam (Oude Noorden)        ,                €895 per month            ,54 m²
                        Apartment Burgemeester Meineszlaan                            ,            3022 BJ Rotterdam (Nieuwe Westen)        ,"                €1,995 per month            ",127 m²
                        Apartment Oostmaaslaan                            ,            3063 DC Rotterdam (Struisenburg)        ,"                €1,700 per month            ",140 m²
                        Apartment Goudsesingel                            ,            3011 KG Rotterdam (Stadsdriehoek)        ,"                €1,475 per month            ",71 m²
                        Apartment Feijenoordkade                            ,            3071 HK Rotterdam (Feijenoord)        ,"                €2,100 per month            ",140 m²
                        Apartment Delfgaauwstraat 55 B                            ,            3037 LJ Rotterdam (Liskwartier)        ,"                €1,450 per month            ",75 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Willem van Boelrestraat                            ,            3067 LM Rotterdam (Het Lage Land)        ,"                €1,350 per month            ",85 m²
                        Apartment Statensingel                            ,            3039 LP Rotterdam (Blijdorp)        ,"                €2,300 per month            ",129 m²
                        Apartment J.H. van den Broekstraat 23                            ,            3071 MB Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,900 per month            ",115 m²
                        Apartment Rubensstraat 20 C                            ,            3061 ZX Rotterdam (Kralingen West)        ,"                €1,600 per month            ",70 m²
                        Apartment Willebrordusplein                            ,            3037 TD Rotterdam (Liskwartier)        ,                €875 per month            ,29 m²
                        Apartment Beijerlandsestraat 23 B                            ,            3074 RA Rotterdam (Hillesluis)        ,"                €1,250 per month            ",104 m²
                        Apartment Robert Baeldestraat                            ,            3061 TH Rotterdam (Kralingen West)        ,"                €1,395 per month            ",79 m²
                        Apartment Willebrordusstraat 124 B                            ,            3037 TX Rotterdam (Liskwartier)        ,"                €1,275 per month            ",52 m²
                        Apartment Prometheusstraat                            ,            3054 WD Rotterdam (Hillegersberg Noord)        ,"                €2,100 per month            ",104 m²
                        Apartment Vierambachtsstraat                            ,            3022 AD Rotterdam (Nieuwe Westen)        ,"                €1,195 per month            ",69 m²
                        Apartment Proveniersstraat                            ,            3033 CH Rotterdam (Provenierswijk)        ,"                €1,550 per month            ",65 m²
                        Apartment Ernest Groosmanplein                            ,            3071 MN Rotterdam (Kop van Zuid)        ,"                €2,150 per month            ",160 m²
                        Apartment Zwederstraat                            ,            3073 ZT Rotterdam (Bloemhof)        ,"                €1,350 per month            ",82 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,350 per month            ",36 m²
                        Apartment Berglustlaan                            ,            3054 BC Rotterdam (Hillegersberg Noord)        ,"                €1,650 per month            ",150 m²
                        Apartment Hermonlaan 14                            ,            3061 BH Rotterdam (Kralingen West)        ,"                €1,650 per month            ",80 m²
                        House Bergse Linker Rottekade                            ,            3056 LE Rotterdam (Terbregge)        ,"                €2,150 per month            ",165 m²
                        Apartment Fluitstraat                            ,            3028 VB Rotterdam (Oud Mathenesse)        ,"                €1,350 per month            ",65 m²
                        Apartment Beukelsdijk                            ,            3021 AE Rotterdam (Middelland)        ,"                €1,750 per month            ",70 m²
                        Apartment Mijnsherenlaan                            ,            3081 GN Rotterdam (Tarwewijk)        ,"                €1,495 per month            ",65 m²
                        Apartment Bentincklaan 332                            ,            3039 KK Rotterdam (Blijdorp)        ,"                €1,595 per month            ",90 m²
                        Apartment Schiedamseweg                            ,            3026 AE Rotterdam (Tussendijken)        ,"                €1,295 per month            ",104 m²
                        Apartment Nansenplaats 271                            ,            3069 CS Rotterdam (Ommoord)        ,"                €1,350 per month            ",104 m²
                        Apartment Noorderhavenkade 37 c3                            ,            3039 RE Rotterdam (Blijdorp)        ,"                €1,595 per month            ",80 m²
                        Apartment Struitenweg                            ,            3082 WV Rotterdam (Oud Charlois)        ,"                €1,250 per month            ",85 m²
                        Apartment Scheepmakerspassage                            ,            3011 VH Rotterdam (Stadsdriehoek)        ,"                €1,700 per month            ",84 m²
                        Apartment Wijnkade                            ,            3011 VZ Rotterdam (Stadsdriehoek)        ,"                €1,500 per month            ",66 m²
                        Apartment Statenweg                            ,            3039 HE Rotterdam (Blijdorp)        ,"                €1,995 per month            ",103 m²
                        Apartment Benthuizerstraat                            ,            3036 CK Rotterdam (Oude Noorden)        ,"                €1,395 per month            ",59 m²
                        Apartment Randweg                            ,            3074 BJ Rotterdam (Hillesluis)        ,                €995 per month            ,56 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Hoogstraat                            ,            3011 PD Rotterdam (Stadsdriehoek)        ,"                €1,195 per month            ",65 m²
                        Apartment Stationssingel                            ,            3033 HB Rotterdam (Provenierswijk)        ,"                €2,200 per month            ",114 m²
                        Studio Oudedijk                            ,            3061 AB Rotterdam (Kralingen West)        ,"                €1,395 per month            ",34 m²
                        House Jacobus van Vessemsingel                            ,            3065 NH Rotterdam ('s-Gravenland)        ,"                €3,500 per month            ",207 m²
                        Apartment Insulindestraat                            ,            3038 JL Rotterdam (Bergpolder)        ,"                €1,075 per month            ",46 m²
                        Apartment Samuel Mullerstraat                            ,            3023 SN Rotterdam (Nieuwe Westen)        ,                €650 per month            ,113 m²
                        Apartment Cordell Hullplaats                            ,            3068 VE Rotterdam (Ommoord)        ,"                €1,200 per month            ",99 m²
                        Apartment Jufferstraat 208                            ,            3011 XM Rotterdam (Stadsdriehoek)        ,"                €1,690 per month            ",80 m²
                        Apartment Oostvoornsestraat                            ,            3082 SL Rotterdam (Oud Charlois)        ,"                €1,999 per month            ",90 m²
                        Apartment Gouwstraat 2 A                            ,            3082 BD Rotterdam (Oud Charlois)        ,"                €1,150 per month            ",74 m²
                        Apartment Ramlehweg                            ,            3061 JW Rotterdam (Kralingen West)        ,"                €2,250 per month            ",120 m²
                        Room Straatweg                            ,            3051 BG Rotterdam (Hillegersberg Zuid)        ,                €375 per month            ,20 m²
                        Room Straatweg                            ,            3051 BG Rotterdam (Hillegersberg Zuid)        ,                €375 per month            ,20 m²
                        Apartment Weena 43 C                            ,            3013 CD Rotterdam (Stadsdriehoek)        ,"                €1,650 per month            ",80 m²
                        Room Tamboerstraat                            ,            3034 PW Rotterdam (Oud Crooswijk)        ,                €450 per month            ,25 m²
                        Apartment Burgemeester Meineszlaan                            ,            3022 BA Rotterdam (Nieuwe Westen)        ,"                €1,895 per month            ",104 m²
                        Apartment Strevelsweg                            ,            3083 LV Rotterdam (Vreewijk)        ,"                €1,750 per month            ",92 m²
                        Apartment Mijnsherenlaan 44 D                            ,            3081 CB Rotterdam (Tarwewijk)        ,                €500 per month            ,24 m²
                        Apartment Vlietlaan                            ,            3061 DX Rotterdam (Kralingen West)        ,                €795 per month            ,100 m²
                        Apartment Jacob van Campenweg                            ,            3067 LJ Rotterdam (Het Lage Land)        ,"                €1,195 per month            ",88 m²
                        Apartment Stadhoudersweg                            ,            3038 EG Rotterdam (Bergpolder)        ,"                €1,495 per month            ",74 m²
                        Apartment Bas Jungeriusstraat                            ,            3081 VJ Rotterdam (Tarwewijk)        ,                €950 per month            ,45 m²
                        House Villapark                            ,            3051 BP Rotterdam (Hillegersberg Zuid)        ,"                €2,995 per month            ",136 m²
                        Apartment Pleinweg                            ,            3083 EJ Rotterdam (Carnisse)        ,                €595 per month            ,20 m²
                        Apartment Paradijslaan 142 E                            ,            3034 SV Rotterdam (Nieuw Crooswijk)        ,"                €2,000 per month            ",174 m²
                        Apartment Westzeedijk                            ,            3015 AA Rotterdam (Dijkzigt)        ,"                €1,195 per month            ",46 m²
                        House Prinses Margrietlaan                            ,            3051 AR Rotterdam (Hillegersberg Zuid)        ,"                €1,750 per month            ",55 m²
                        Studio Schiekade                            ,            3033 BD Rotterdam (Agniesebuurt)        ,                €695 per month            ,25 m²
                        Apartment Chris Bennekerslaan                            ,            3061 EB Rotterdam (Kralingen West)        ,"                €2,250 per month            ",157 m²
                        Apartment Zandblokstraat                            ,            3083 MZ Rotterdam (Carnisse)        ,                €550 per month            ,70 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Belgischestraat                            ,            3028 TB Rotterdam (Oud Mathenesse)        ,                €640 per month            ,55 m²
                        House Zevenbergsedijkje                            ,            3079 DP Rotterdam (Groot IJsselmonde)        ,"                €2,195 per month            ",118 m²
                        Apartment Noordmolenstraat 15 B                            ,            3035 RD Rotterdam (Oude Noorden)        ,"                €1,595 per month            ",52 m²
                        House Ceintuurbaan 12 B                            ,            3051 AE Rotterdam (Hillegersberg Zuid)        ,"                €1,895 per month            ",100 m²
                        Apartment Chris Bennekerslaan                            ,            3061 EB Rotterdam (Kralingen West)        ,"                €2,500 per month            ",157 m²
                        Studio Witte de Withstraat                            ,            3012 BR Rotterdam (Cool)        ,                €950 per month            ,30 m²
                        Apartment Mijnsherenlaan                            ,            3081 CC Rotterdam (Tarwewijk)        ,"                €1,295 per month            ",90 m²
                        House Jericholaan                            ,            3061 HD Rotterdam (Kralingen West)        ,"                €3,500 per month            ",216 m²
                        Apartment Rochussenstraat                            ,            3021 NR Rotterdam (Middelland)        ,"                €1,700 per month            ",80 m²
                        Apartment Engelsestraat 43 B                            ,            3028 CB Rotterdam (Oud Mathenesse)        ,"                €1,395 per month            ",55 m²
                        Apartment Ungerplein 8 A                            ,            3033 BT Rotterdam (Provenierswijk)        ,"                €1,195 per month            ",35 m²
                        Apartment Prinses Margrietlaan 5 A                            ,            3051 AM Rotterdam (Hillegersberg Zuid)        ,"                €1,385 per month            ",62 m²
                        Apartment Koopvaardijhof                            ,            3071 PK Rotterdam (Noordereiland)        ,"                €1,400 per month            ",73 m²
                        Apartment Toepad                            ,            3063 NJ Rotterdam (De Esch)        ,                €976 per month            ,50 m²
                        Apartment Piet Smitkade                            ,            3077 MJ Rotterdam (Oud IJsselmonde)        ,"                €2,200 per month            ",72 m²
                        Apartment Schiekade                            ,            3033 BE Rotterdam (Agniesebuurt)        ,"                €2,500 per month            ",95 m²
                        Apartment Schietbaanlaan                            ,            3021 LP Rotterdam (Middelland)        ,"                €2,500 per month            ",128 m²
                        Apartment Claes de Vrieselaan                            ,            3021 JR Rotterdam (Middelland)        ,"                €2,400 per month            ",141 m²
                        Apartment Zaagmolenstraat                            ,            3036 HN Rotterdam (Oude Noorden)        ,"                €2,195 per month            ",114 m²
                        Apartment Prins Frederik Hendrikstraat                            ,            3051 ET Rotterdam (Hillegersberg Zuid)        ,"                €2,000 per month            ",99 m²
                        Apartment Schiekade                            ,            3033 BE Rotterdam (Agniesebuurt)        ,"                €2,500 per month            ",95 m²
                        Apartment Waterloostraat                            ,            3062 TS Rotterdam (Kralingen Oost)        ,"                €2,500 per month            ",88 m²
                        Apartment Schiedamseweg                            ,            3025 AR Rotterdam (Tussendijken)        ,"                €1,200 per month            ",55 m²
                        House Kralingseweg                            ,            3065 RC Rotterdam ('s-Gravenland)        ,"                €1,950 per month            ",142 m²
                        Apartment C.P.Tielestraat                            ,            3023 TB Rotterdam (Nieuwe Westen)        ,"                €2,450 per month            ",159 m²
                        Apartment Kruisplein                            ,            3012 CC Rotterdam (Cool)        ,"                €1,595 per month            ",61 m²
                        Apartment Bergse Dorpsstraat                            ,            3054 GA Rotterdam (Hillegersberg Noord)        ,"                €1,295 per month            ",50 m²
                        Apartment Burgemeester Meineszlaan                            ,            3022 BE Rotterdam (Nieuwe Westen)        ,"                €1,075 per month            ",70 m²
                        Apartment Burgemeester Meineszlaan                            ,            3022 BE Rotterdam (Nieuwe Westen)        ,"                €1,310 per month            ",85 m²
                        Apartment Borchsatelaan 142 B                            ,            3055 ZN Rotterdam (Molenlaankwartier)        ,"                €1,650 per month            ",85 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Graaf Adolf van Nassaustraat                            ,            3051 GC Rotterdam (Hillegersberg Zuid)        ,"                €1,450 per month            ",77 m²
                        Apartment Kratonkade 490                            ,            3024 EW Rotterdam (Schiemond)        ,"                €1,995 per month            ",91 m²
                        Room Korenaardwarsstraat                            ,            3023 XA Rotterdam (Nieuwe Westen)        ,                €750 per month            ,13 m²
                        Apartment Kruisplein                            ,            3012 CC Rotterdam (Cool)        ,"                €2,450 per month            ",95 m²
                        House Boergoensevliet                            ,            3082 KJ Rotterdam (Oud Charlois)        ,"                €1,400 per month            ",92 m²
                        Apartment Mauritsstraat                            ,            3012 CJ Rotterdam (Cool)        ,"                €1,075 per month            ",61 m²
                        Apartment Baljuwplein                            ,            3033 XB Rotterdam (Provenierswijk)        ,"                €1,250 per month            ",56 m²
                        Apartment Helmersstraat 127                            ,            3071 AD Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,600 per month            ",95 m²
                        Apartment Claes de Vrieselaan                            ,            3021 JR Rotterdam (Middelland)        ,"                €2,500 per month            ",157 m²
                        Apartment Hellevoetstraat 53                            ,            3081 NN Rotterdam (Tarwewijk)        ,"                €1,350 per month            ",55 m²
                        House Overschiese Kleiweg                            ,            3045 LJ Rotterdam (Zestienhoven)        ,"                €3,950 per month            ",334 m²
                        Apartment Graaf Balderikstraat 168                            ,            3032 HC Rotterdam (Oude Noorden)        ,"                €1,500 per month            ",80 m²
                        Apartment Schilperoortstraat                            ,            3082 SX Rotterdam (Oud Charlois)        ,"                €1,125 per month            ",78 m²
                        Apartment Stadhoudersweg                            ,            3039 ED Rotterdam (Blijdorp)        ,"                €3,500 per month            ",170 m²
                        Apartment Provenierssingel                            ,            3033 EM Rotterdam (Provenierswijk)        ,"                €2,995 per month            ",127 m²
                        Apartment Oostzeedijk Beneden                            ,            3062 VK Rotterdam (Kralingen Oost)        ,"                €2,995 per month            ",118 m²
                        Apartment Waterloostraat                            ,            3062 TS Rotterdam (Kralingen Oost)        ,"                €2,500 per month            ",88 m²
                        Apartment Maaskade 133 A02                            ,            3071 NL Rotterdam (Noordereiland)        ,"                €1,200 per month            ",54 m²
                        Apartment De Kempenaerstraat                            ,            3038 VR Rotterdam (Bergpolder)        ,"                €1,250 per month            ",55 m²
                        Apartment Bussinghstraat                            ,            3026 RA Rotterdam (Tussendijken)        ,"                €1,500 per month            ",49 m²
                        Apartment Heemraadssingel 103 E                            ,            3022 CB Rotterdam (Nieuwe Westen)        ,"                €1,995 per month            ",110 m²
                        Apartment Koningslaan                            ,            3067 TG Rotterdam (Het Lage Land)        ,"                €2,100 per month            ",93 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €986 per month            ,32 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €974 per month            ,25 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €986 per month            ,25 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,"                €1,003 per month            ",32 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €952 per month            ,21 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,"                €1,009 per month            ",25 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €997 per month            ,25 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €974 per month            ,21 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €992 per month            ,31 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,"                €1,003 per month            ",32 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €997 per month            ,25 m²
                        Apartment Glashaven                            ,            3011 XH Rotterdam (Stadsdriehoek)        ,                €952 per month            ,26 m²
                        Apartment Lisbloemstraat 19 F                            ,            3051 TM Rotterdam (Hillegersberg Zuid)        ,"                €1,400 per month            ",76 m²
                        Apartment Vegelinsoord 152                            ,            3079 KP Rotterdam (Groot IJsselmonde)        ,"                €1,395 per month            ",60 m²
                        Apartment Vijverlaan                            ,            3062 HK Rotterdam (Kralingen Oost)        ,"                €2,250 per month            ",97 m²
                        Apartment Polderlaan 46 02                            ,            3074 ME Rotterdam (Hillesluis)        ,"                €1,550 per month            ",109 m²
                        Apartment Laan op Zuid                            ,            3071 AB Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,495 per month            ",101 m²
                        Apartment Soetendaalsekade 43                            ,            3036 EA Rotterdam (Oude Noorden)        ,"                €1,150 per month            ",40 m²
                        Apartment Oude Watering                            ,            3077 RG Rotterdam (Beverwaard)        ,"                €1,150 per month            ",70 m²
                        House Van Bassenstraat                            ,            3067 XE Rotterdam (Het Lage Land)        ,"                €2,195 per month            ",100 m²
                        Apartment Groene Hilledijk                            ,            3073 AE Rotterdam (Bloemhof)        ,                €995 per month            ,75 m²
                        Apartment Nieuwe Binnenweg                            ,            3023 EM Rotterdam (Nieuwe Westen)        ,"                €1,745 per month            ",103 m²
                        Apartment Lambertusstraat                            ,            3062 XB Rotterdam (Kralingen Oost)        ,"                €1,450 per month            ",50 m²
                        Apartment Adriaen Nimantsstraat                            ,            3074 NG Rotterdam (Hillesluis)        ,"                €1,595 per month            ",88 m²
